Period,Station,Years,SumAdultCount
3,1,1981,7
3,2,1981,4
3,3,1981,3
3,4,1981,6
3,5,1981,25
3,6,1981,13
4,1,1982,13
4,2,1982,1
4,3,1982,4
4,4,1982,5
4,5,1982,26
4,6,1982,13
5,1,1982,16
5,2,1982,5
5,3,1982,2
5,4,1982,4
5,5,1982,22
5,6,1982,17
6,1,1983,14
6,2,1983,5
6,3,1983,3
6,4,1983,16
6,5,1983,30
6,6,1983,31
7,1,1983,7
7,2,1983,9
7,3,1983,8
7,4,1983,25
7,5,1983,23
8,1,1984,12
8,5,1984,28
9,1,1984,3
9,2,1984,4
9,3,1984,4
9,4,1984,40
9,5,1984,33
9,6,1984,11
10,1,1985,15
10,2,1985,21
10,3,1985,8
10,4,1985,62
10,5,1985,35
10,6,1985,22
11,1,1985,16
11,2,1985,23
11,3,1985,20
11,4,1985,53
11,5,1985,43
11,6,1985,15
12,1,1986,16
12,2,1986,26
12,3,1986,32
12,4,1986,34
12,5,1986,47
12,6,1986,37
13,1,1986,28
13,2,1986,15
13,3,1986,16
13,4,1986,43
13,5,1986,29
13,6,1986,19
13,7,1986,0
14,1,1987,20
14,2,1987,19
14,3,1987,15
14,4,1987,62
14,5,1987,40
14,6,1987,23
14,7,1987,0
15,1,1987,12
15,2,1987,33
15,3,1987,12
15,4,1987,86
15,5,1987,26
15,6,1987,28
15,7,1987,0
16,1,1988,31
16,2,1988,9
16,3,1988,16
16,4,1988,49
16,5,1988,50
16,6,1988,21
16,7,1988,0
17,1,1988,9
17,2,1988,6
17,3,1988,7
17,4,1988,64
17,5,1988,45
17,6,1988,22
17,7,1988,0
18,1,1989,27
18,2,1989,9
18,3,1989,6
18,4,1989,28
18,5,1989,34
18,6,1989,39
18,7,1989,0
19,1,1989,20
19,2,1989,14
19,3,1989,35
19,4,1989,74
19,5,1989,64
19,6,1989,34
19,7,1989,0
21,1,1990,27
21,2,1990,10
21,3,1990,14
21,4,1990,36
21,5,1990,77
21,6,1990,23
21,7,1990,0
22,1,1991,9
22,2,1991,11
22,3,1991,8
22,4,1991,29
22,5,1991,44
22,6,1991,9
22,7,1991,0
23,1,1991,25
23,2,1991,4
23,3,1991,9
23,4,1991,40
23,5,1991,53
23,6,1991,24
23,7,1991,0
24,1,1992,17
24,2,1992,4
24,3,1992,5
24,4,1992,27
24,5,1992,27
24,6,1992,10
24,7,1992,0
25,1,1992,5
25,2,1992,3
25,3,1992,4
25,4,1992,29
25,5,1992,44
25,6,1992,22
25,7,1992,0
26,4,1993,50
26,5,1993,31
26,6,1993,6
27,1,1993,51
27,2,1993,10
27,3,1993,15
27,4,1993,22
27,5,1993,39
27,6,1993,32
28,1,1994,55
28,2,1994,15
28,3,1994,36
28,4,1994,53
28,5,1994,91
28,6,1994,35
29,1,1994,34
29,2,1994,9
29,3,1994,57
29,4,1994,74
29,5,1994,70
29,6,1994,37
29,7,1994,0
30,1,1995,12
30,2,1995,19
30,3,1995,25
30,4,1995,39
30,5,1995,73
30,6,1995,60
30,7,1995,0
31,1,1995,13
31,2,1995,38
31,3,1995,86
31,4,1995,67
31,5,1995,105
31,6,1995,30
32,1,1996,8
32,2,1996,12
32,3,1996,8
32,4,1996,13
32,5,1996,49
32,6,1996,0
32,7,1996,0
33,1,1996,125
33,2,1996,23
33,3,1996,58
33,4,1996,52
33,5,1996,318
33,6,1996,61
33,7,1996,0
34,1,1997,18
34,2,1997,8
34,3,1997,22
34,4,1997,36
34,5,1997,57
34,6,1997,62
35,1,1997,21
35,2,1997,13
35,3,1997,23
35,4,1997,55
35,5,1997,88
35,6,1997,78
35,7,1997,0
36,1,1998,39
36,2,1998,8
36,3,1998,15
36,4,1998,31
36,5,1998,30
36,6,1998,36
37,1,1998,14
37,2,1998,15
37,3,1998,24
