date,PERIOD,SEASON,SITE,ID,RELIEF,TRANSECT,PatMin,MesFra,StrPur,MegUnd,DerImb,PisGig,PycHel,SteOsm,LamSpp,MacJuv,LamJuv,EisArb,PteCal,MacPyr
8/27/1980,1,FALL,1,1_10R,NA,10R,5,0,27,5,0,7,0,11,30,0,0,0,12,6
8/27/1980,1,FALL,1,1_22R,NA,22R,6,13,119,12,0,7,0,9,7,1,0,0,3,2
8/27/1980,1,FALL,1,1_32L,NA,32L,4,0,18,1,0,1,0,13,30,0,0,1,3,2
8/27/1980,1,FALL,1,1_39R,NA,39R,2,3,117,6,0,2,0,9,4,0,0,0,3,4
8/27/1980,1,FALL,1,1_45R,NA,45R,9,3,83,1,0,5,0,6,5,0,2,0,3,3
8/27/1980,1,FALL,2,2_10L,NA,10L,30,290,75,0,0,7,0,0,0,0,0,0,0,0
8/27/1980,1,FALL,2,2_22L,NA,22L,59,140,49,0,0,9,0,0,0,0,0,0,0,0
8/27/1980,1,FALL,2,2_32R,NA,32R,48,156,41,0,0,10,0,0,0,2,0,0,1,0
8/27/1980,1,FALL,2,2_39L,NA,39L,40,172,175,0,0,2,0,0,0,1,0,0,0,0
8/27/1980,1,FALL,2,2_45L,NA,45L,32,138,277,0,0,0,0,0,0,12,0,1,2,13
8/27/1980,1,FALL,3,3_10R,NA,10R,12,24,31,0,0,9,0,120,40,25,0,0,10,11
8/27/1980,1,FALL,3,3_22R,NA,22R,12,16,11,0,0,1,0,77,1,0,0,2,9,7
8/27/1980,1,FALL,3,3_32L,NA,32L,18,118,69,0,0,9,0,131,0,0,0,2,1,3
8/27/1980,1,FALL,3,3_39R,NA,39R,6,66,41,1,0,1,0,103,5,8,5,1,27,5
8/27/1980,1,FALL,3,3_45L,NA,45L,20,131,104,0,0,11,0,47,1,0,0,0,1,3
8/27/1980,1,FALL,4,4_10R,NA,10R,38,141,24,0,1,3,0,0,1,0,1,2,0,7
8/27/1980,1,FALL,4,4_22L,NA,22L,25,12,57,0,0,6,0,2,17,0,0,2,0,5
8/27/1980,1,FALL,4,4_32L,NA,32L,12,23,46,0,0,8,0,0,26,0,1,1,0,3
8/27/1980,1,FALL,4,4_39L,NA,39L,13,31,88,0,0,0,0,0,71,0,0,7,3,1
