TRANSECT,SITE,RELIEF,REP,ID
10R,NavFac,10.1386037,1,1_10R
22R,NavFac,10.1386037,1,1_22R
32L,NavFac,10.26694045,1,1_32L
39R,NavFac,11.03696099,1,1_39R
45R,NavFac,12.4486653,1,1_45R
10L,West End Urchin,13.09,1,2_10L
22L,West End Urchin,13.09034908,1,2_22L
32R,West End Urchin,12.06365503,1,2_32R
39L,West End Urchin,15.86,1,2_39L
45L,West End Urchin,11.42197125,1,2_45L
10R,West End Kelp,11.03696099,1,3_10R
22R,West End Kelp,10.90862423,1,3_22R
32L,West End Kelp,13.34702259,1,3_32L
39R,West End Kelp,12.70533881,1,3_39R
45L,West End Kelp,13.86036961,1,3_45L
10R,West Dutch,16.94045175,1,4_10R
22L,West Dutch,19.25051335,1,4_22L
32L,West Dutch,24.64065708,1,4_32L
39L,West Dutch,17.45379877,1,4_39L
45L,West Dutch,15.40041068,1,4_45L
10R,East Dutch,13.21868583,1,5_10R
22R,East Dutch,17.32546201,1,5_22R
32L,East Dutch,14.24537988,1,5_32L
39R,East Dutch,14.63039014,1,5_39R
45R,East Dutch,12.32032854,1,5_45R
10R,Daytona,11.16529774,1,6_10R
22L,Daytona,15.40041068,1,6_22L
22R,Daytona,12.32032854,1,6_22R
32L,Daytona,13.47535934,1,6_32L
39L,Daytona,10.78028747,1,6_39L
10R,Sandy Cove,10.1386037,1,7_10R
22R,Sandy Cove,10.65195072,1,7_22R
32L,Sandy Cove,12.19199179,1,7_32L
39R,Sandy Cove,10.65195072,1,7_39R
45R,Sandy Cove,12.06365503,1,7_45R
10R,NavFac,10.0104,2,1_10R
22R,NavFac,10.0104,2,1_22R
32L,NavFac,10.0104,2,1_32L
39R,NavFac,10.92,2,1_39R
45R,NavFac,11.57,2,1_45R
10L,West End Urchin,10.66,2,2_10L
22L,West End Urchin,10.53,2,2_22L
32R,West End Urchin,10.0104,2,2_32R
39L,West End Urchin,14.05,2,2_39L
45L,West End Urchin,11.96,2,2_45L
10R,West End Kelp,10.66,2,3_10R
22R,West End Kelp,10.0104,2,3_22R
32L,West End Kelp,10.66,2,3_32L
39R,West End Kelp,10.0104,2,3_39R
45L,West End Kelp,11.7,2,3_45L
10R,West Dutch,15.86,2,4_10R
22L,West Dutch,15.86,2,4_22L
32L,West Dutch,23.79,2,4_32L
39L,West Dutch,13.39,2,4_39L
45L,West Dutch,15.47,2,4_45L
10R,East Dutch,12.61,2,5_10R
22R,East Dutch,16.9,2,5_22R
32L,East Dutch,13,2,5_32L
39R,East Dutch,16.9,2,5_39R
45R,East Dutch,10.0104,2,5_45R
10R,Daytona,10.4,2,6_10R
22L,Daytona,12.35,2,6_22L
22R,Daytona,10.0104,2,6_22R
32L,Daytona,13,2,6_32L
39L,Daytona,10.0104,2,6_39L
10R,Sandy Cove,10.0104,2,7_10R
22R,Sandy Cove,10.66,2,7_22R
32L,Sandy Cove,10.0104,2,7_32L
39R,Sandy Cove,10.4,2,7_39R
45R,Sandy Cove,10.53,2,7_45R
10R,NavFac,10.14,3,1_10R
22R,NavFac,10.0104,3,1_22R
32L,NavFac,10.14,3,1_32L
39R,NavFac,11.7,3,1_39R
45R,NavFac,11.7,3,1_45R
10L,West End Urchin,12.35,3,2_10L
22L,West End Urchin,10.01,3,2_22L
32R,West End Urchin,12.61,3,2_32R
39L,West End Urchin,13.39,3,2_39L
45L,West End Urchin,10.27,3,2_45L
10R,West End Kelp,12.35,3,3_10R
22R,West End Kelp,10.14,3,3_22R
32L,West End Kelp,10.4,3,3_32L
39R,West End Kelp,11.7,3,3_39R
45L,West End Kelp,11.83,3,3_45L
10R,West Dutch,18.46,3,4_10R
22L,West Dutch,17.68,3,4_22L
32L,West Dutch,20.15,3,4_32L
39L,West Dutch,15.08,3,4_39L
45L,West Dutch,12.48,3,4_45L
10R,East Dutch,12.74,3,5_10R
22R,East Dutch,16.38,3,5_22R
32L,East Dutch,14.3,3,5_32L
39R,East Dutch,19.76,3,5_39R
45R,East Dutch,10.14,3,5_45R
10R,Daytona,10.27,3,6_10R
22L,Daytona,12.74,3,6_22L
22R,Daytona,10.14,3,6_22R
32L,Daytona,10.27,3,6_32L
39L,Daytona,10.0104,3,6_39L
10R,Sandy Cove,10.79,3,7_10R
22R,Sandy Cove,10.4,3,7_22R
32L,Sandy Cove,10.66,3,7_32L
39R,Sandy Cove,10.0104,3,7_39R
45R,Sandy Cove,10.92,3,7_45R
