SU,Site,WaveHeight
524288,Daytona,0.808940326
526336,Daytona,0.900697626
528384,Daytona,0.843221295
530432,Daytona,0.821582706
532480,Daytona,0.861189051
534528,Daytona,0.847309417
536576,Daytona,0.853375588
538624,Daytona,0.81306495
540672,Daytona,0.881390206
542720,Daytona,0.96065062
544768,Daytona,0.825123332
546816,Daytona,0.868850049
548864,Daytona,0.848260698
550912,Daytona,0.862532969
552960,Daytona,0.760629333
555008,Daytona,0.865929004
557056,Daytona,0.847166046
559104,Daytona,0.843483698
561152,Daytona,0.849453463
563200,Daytona,0.882756396
565248,Daytona,0.780827255
567296,Daytona,0.839270007
569344,Daytona,0.754044564
571392,Daytona,0.84047427
573440,Daytona,0.811930737
575488,Daytona,0.805796531
577536,Daytona,0.786942193
579584,Daytona,0.882789857
581632,Daytona,0.854496151
583680,Daytona,0.83389477
585728,Daytona,0.757977602
587776,Daytona,0.788310888
589824,Daytona,0.673897425
591872,Daytona,0.749974622
593920,Daytona,0.88446039
595968,Daytona,0.869793326
598016,Daytona,0.869819958
600064,Daytona,0.78943933
602112,Daytona,0.912247644
604160,Daytona,0.773247672
606208,Daytona,0.842658266
608256,Daytona,0.733498078
610304,Daytona,0.793248752
612352,Daytona,0.798732564
614400,Daytona,0.803483622
616448,Daytona,0.791304506
618496,Daytona,0.8377424
620544,Daytona,0.856077313
622592,Daytona,0.775191247
624640,Daytona,0.890693784
626688,Daytona,0.80393572
628736,Daytona,0.83124766
630784,Daytona,0.691268901
632832,Daytona,0.755429269
634880,Daytona,0.769112312
636928,Daytona,0.852699095
638976,Daytona,0.797021571
641024,Daytona,0.876306386
643072,Daytona,0.849729353
645120,Daytona,0.851086093
647168,Daytona,0.73802396
649216,Daytona,0.804625034
651264,Daytona,0.821754483
653312,Daytona,0.882583764
655360,Daytona,0.767237766
657408,Daytona,0.774577685
659456,Daytona,0.80769254
661504,Daytona,0.76968052
663552,Daytona,0.850253722
665600,Daytona,0.845197298
667648,Daytona,0.792895857
669696,Daytona,0.766496
671744,Daytona,0.860926185
673792,Daytona,0.790499727
675840,Daytona,0.806728401
677888,Daytona,0.778329854
679936,Daytona,0.711622092
681984,Daytona,0.799251607
684032,Daytona,0.713950644
686080,Daytona,0.801240476
688128,Daytona,0.820922474
690176,Daytona,0.737840284
692224,Daytona,0.7633369
694272,Daytona,0.790222168
696320,Daytona,0.840937011
698368,Daytona,0.815170197
700416,Daytona,0.766471592
702464,Daytona,0.735161612
704512,Daytona,0.899929003
706560,Daytona,0.811538226
708608,Daytona,0.852485615
710656,Daytona,0.783642859
712704,Daytona,0.820596339
714752,Daytona,0.790221734
716800,Daytona,0.793811698
718848,Daytona,0.811583081
720896,Daytona,0.777817832
722944,Daytona,0.877689129
